Product Name, Price
Nike Flex Experience Run 9,$51.97,https://www.nike.com/t/flex-experience-run-9-womens-running-shoe-mSLxGh/CD0227-002
Nike React Element 55,$67.97,https://www.nike.com/t/react-element-55-womens-shoe-t0BNJn/BQ2728-602
Nike Force Savage Shark 2,$49.97,https://www.nike.com/t/force-savage-shark-2-mens-football-cleat-qKfpsT/AQ7722-001
Nike Odyssey React Flyknit 2,$89.97,https://www.nike.com/t/odyssey-react-flyknit-2-mens-running-shoe-T3VG7N/AH1015-011
Nike Air Max Bella TR 2,$46.97,https://www.nike.com/t/air-max-bella-tr-2-womens-training-shoe-GT0PnR/AQ7492-001
Nike Mercurial Vapor 13 Academy Neymar Jr. IC,$64.97,https://www.nike.com/t/mercurial-vapor-13-academy-neymar-jr-ic-indoor-court-soccer-shoe-DDTQWF/AT7994-104
Nike Epic React Flyknit 2,$87.97,https://www.nike.com/t/epic-react-flyknit-2-big-kids-running-shoe-14P7S9/AQ3243-001
Nike In-Season TR 9,$57.97,https://www.nike.com/t/in-season-tr-9-womens-training-shoe-F6MRbL/AR4543-603
Nike Air Max Impact,$75.97,https://www.nike.com/t/air-max-impact-basketball-shoe-LHGSWb/CW5881-100
Nike RT Presto,$50.97,https://www.nike.com/t/rt-presto-baby-toddler-shoe-MqdbHl/BQ4004-403
Nike Free RN 2018,$26.97,https://www.nike.com/t/free-rn-2018-infant-toddler-shoe-yz8k0g/AH3456-404
Nike Air Max Excee,$65.97,https://www.nike.com/t/air-max-excee-mens-shoe-MhJh6v/CD4165-008
Nike Air Max Graviton,$71.97,https://www.nike.com/t/air-max-graviton-womens-shoe-nJNXHK/AT4404-001
Nike Joyride CC,$71.97,https://www.nike.com/t/joyride-cc-mens-shoe-7pfVQF/AO1742-004
Nike Air Zoom Winflo 7,$79.97,https://www.nike.com/t/air-zoom-wio-7-mens-running-shoe-810FRg/CJ0291-005
Nike Joyride Dual Run,$90.97,https://www.nike.com/t/joyride-dual-run-womens-running-shoe-B3dNj5/CD4363-105
Nike Tiempo Legend 8 Club MG,$31.97,https://www.nike.com/t/tiempo-legend-8-club-mg-multi-ground-soccer-cleat-tdcZGL/AT6107-606
Nike SB Charge Slip,$47.97,https://www.nike.com/t/sb-charge-slip-skate-shoe-XrpH2Q/CT3523-002
Nike Joyride CC,$69.97,https://www.nike.com/t/joyride-cc-mens-shoe-7pfVQF/AO1742-302
Nike Air Zoom Winflo 7,$79.97,https://www.nike.com/t/air-zoom-wio-7-mens-running-shoe-810FRg/CJ0291-005
Nike Joyride Dual Run,$90.97,https://www.nike.com/t/joyride-dual-run-womens-running-shoe-B3dNj5/CD4363-105
Nike Tiempo Legend 8 Club MG,$31.97,https://www.nike.com/t/tiempo-legend-8-club-mg-multi-ground-soccer-cleat-tdcZGL/AT6107-606
Nike SB Charge Slip,$47.97,https://www.nike.com/t/sb-charge-slip-skate-shoe-XrpH2Q/CT3523-002
Nike Team Hustle D 9,$36.97,https://www.nike.com/t/team-hustle-d-9-baby-toddler-shoe-qSxvzV/AQ4226-600
Nike Air Max Oketo,$56.97,https://www.nike.com/t/air-max-oketo-womens-shoe-kp92ng/CT1543-001
Nike x CLOT Air Max Haven,$94.97,https://www.nike.com/t/clot-air-max-haven-mens-shoe-DvqVC2/AO2134-101
Nike Air Max Axis,$56.97,https://www.nike.com/t/air-max-axis-big-kids-shoe-pJf9xS/AH5222-603
Nike Air Max 270 Bowfin,$127.97,https://www.nike.com/t/air-max-270-bowfin-mens-shoe-6fGVhP/AJ7200-300
Nike Huarache Run,$67.97,https://www.nike.com/t/huarache-run-big-kids-shoe-1AybA2/654275-607
Nike Air Max 200,$66.97,https://www.nike.com/t/air-max-200-womens-shoe-m5HSSn/CU4745-001
Nike Huarache E.D.G.E,$47.97,https://www.nike.com/t/huarache-edge-big-kids-shoe-29WGw5/AQ2431-001
Nike Flex TR 9,$53.97,https://www.nike.com/t/flex-tr-9-womens-training-shoe-p8xxrj/AQ7491-002
Nike React Element 55,$114.97,https://www.nike.com/t/react-element-55-mens-shoe-hRRzF8/BQ6166-601
Nike React Tiempo Legend 8 Pro IC,$63.97,https://www.nike.com/t/react-tiempo-legend-8-pro-ic-indoor-court-soccer-shoe-8Nt7qz/AT6134-474
Nike Air Zoom UNVRS FlyEase,$108.97,https://www.nike.com/t/air-zoom-unvrs-flyease-basketball-shoe-29tFGs/CQ6422-100
Nike Air Zoom Elevate,$51.97,https://www.nike.com/t/air-zoom-elevate-womens-training-shoe-1xqmqh/AA1213-500
Nike P-6000,$56.97,https://www.nike.com/t/p-6000-shoe-sZ68mf/BV1021-102
Nike x MMW Joyride CC3 Setter,$104.97,https://www.nike.com/t/mmw-joyride-cc3-setter-shoe-P8hwLQ/CU7623-002
Nike React Element 55 SE,$71.97,https://www.nike.com/t/react-element-55-se-mens-shoe-0ZzHVg/CI3831-800
Nike Air Zoom Pegasus 34,$89.97,https://www.nike.com/t/air-zoom-pegasus-34-mens-running-shoe-5XqC72/880555-001
Nike Air Max Tailwind IV SP,$67.97,https://www.nike.com/t/air-max-tailwind-iv-sp-mens-shoe-bbMG6c/BV1357-001
Nike Renew Lucent,$59.97,https://www.nike.com/t/renew-lucent-mens-shoe-V7X9Z9/BQ4235-005
Nike EXP-X14,$63.97,https://www.nike.com/t/exp-x14-mens-shoe-78RMfJ/AO1554-004
Nike Huarache Type,$63.97,https://www.nike.com/t/huarache-type-mens-shoe-qqS4Np/BQ5102-400
Nike Viale Tech Racer,$53.97,https://www.nike.com/t/viale-tech-racer-womens-shoe-jVGfJT/AT4345-003
Nike ZoomX Vista Grind SP,$83.97,https://www.nike.com/t/zoomx-vista-grind-sp-womens-shoe-d2sQFB/CT5770-300
Nike Quest 2,$56.97,https://www.nike.com/t/quest-2-mens-running-shoe-GDCMSC/CI3787-002
Nike Renew Fusion,$67.97,https://www.nike.com/t/renew-fusion-mens-training-shoe-s43bd8/CD0200-400
Nike Air Max 2090,$108.97,https://www.nike.com/t/air-max-2090-mens-shoe-Kjct9t/CU9174-600
PG 4 PCG,$60.97,https://www.nike.com/t/pg-4-pcg-basketball-shoe-H0MT65/CZ2240-900
Nike Air Force 1 Sage Low,$79.97,https://www.nike.com/t/air-force-1-sage-low-womens-shoe-CprflJ/CJ1642-700
LeBron Soldier 13 SFG,$71.97,https://www.nike.com/t/lebron-soldier-13-sfg-basketball-shoe-BRzjlK/AR4225-500
Nike Downshifter 9,$44.97,https://www.nike.com/t/downshifter-9-mens-running-shoe-v0cLTv/AQ7481-800
Nike Air Max Oketo,$45.97,https://www.nike.com/t/air-max-oketo-womens-shoe-S1sthd/AQ2231-601
Nike Air Max Dia SE,$62.97,https://www.nike.com/t/air-max-dia-se-womens-shoe-XqcXXd/AR7410-107
